country,median_age_current,median_age_former,change,change_net
MT,40.5,43.5,-3.0,2.0
NL,41.5,50.0,-8.5,-3.5
BG,44.0,53.0,-9.0,-4.0
CZ,44.0,48.0,-4.0,1.0
SK,44.5,51.0,-6.5,-1.5
SI,46.0,57.0,-11.0,-6.0
SE,46.0,50.0,-4.0,1.0
FI,47.0,64.5,-17.5,-12.5
HU,48.5,49.0,-0.5,4.5
DE,49.0,53.5,-4.5,0.5
FR,49.0,55.0,-6.0,-1.0
LV,49.5,64.5,-15.0,-10.0
PT,50.0,47.0,3.0,8.0
RO,50.0,53.0,-3.0,2.0
EE,50.0,57.0,-7.0,-2.0
ES,50.5,53.0,-2.5,2.5
BE,50.5,54.0,-3.5,1.5
PL,51.0,61.0,-10.0,-5.0
HR,52.0,53.5,-1.5,3.5
IT,52.0,53.5,-1.5,3.5
IE,52.0,57.0,-5.0,0.0
CY,52.0,59.0,-7.0,-2.0
DK,53.0,54.5,-1.5,3.5
AT,53.0,54.0,-1.0,4.0
GR,57.0,58.0,-1.0,4.0
LT,61.0,66.0,-5.0,0.0
LU,61.5,59.0,2.5,7.5
