country,returned_meps,current_meps,current_return_ratio,former_return_ratio
PT,1,21,4.761904761904762,4.761904761904762
FI,4,15,26.666666666666668,28.57142857142857
IT,25,76,32.89473684210527,32.89473684210527
PL,18,53,33.9622641509434,34.61538461538461
IE,5,14,35.714285714285715,38.46153846153847
HU,8,21,38.095238095238095,38.095238095238095
NL,12,31,38.70967741935484,41.37931034482759
SK,6,15,40.0,42.857142857142854
GR,9,21,42.857142857142854,42.857142857142854
FR,36,81,44.44444444444444,45.56962025316456
SI,4,9,44.44444444444444,50.0
LT,5,11,45.45454545454545,45.45454545454545
DK,7,15,46.666666666666664,50.0
BG,8,17,47.05882352941176,47.05882352941176
CZ,10,21,47.61904761904761,47.61904761904761
MT,3,6,50.0,50.0
CY,3,6,50.0,50.0
BE,11,22,50.0,52.38095238095239
ES,30,60,50.0,50.847457627118644
RO,17,33,51.515151515151516,51.515151515151516
AT,11,20,55.00000000000001,57.89473684210527
LV,5,9,55.55555555555556,62.5
SE,12,21,57.14285714285714,57.14285714285714
DE,61,96,63.541666666666664,63.541666666666664
LU,4,6,66.66666666666666,66.66666666666666
HR,8,12,66.66666666666666,66.66666666666666
EE,6,7,85.71428571428571,85.71428571428571
