country,women_percentage
RO,15.151515151515152
CY,16.666666666666664
GR,23.809523809523807
LT,27.27272727272727
EE,28.57142857142857
SK,28.57142857142857
BG,29.411764705882355
MT,33.33333333333333
CZ,33.33333333333333
HR,33.33333333333333
PL,34.61538461538461
DE,35.41666666666667
AT,36.84210526315789
SI,37.5
BE,38.095238095238095
HU,38.095238095238095
IE,38.46153846153847
DK,42.857142857142854
NL,44.827586206896555
IT,46.05263157894737
PT,47.61904761904761
FR,48.10126582278481
LV,50.0
ES,50.847457627118644
SE,52.38095238095239
FI,57.14285714285714
LU,66.66666666666666
